date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,incidents,department_name
2020-11-02,-23.857142857142858,-9.0,-12.571428571428571,-30.571428571428573,-35.0,11.857142857142858,5.147034220046677,Albuquerque Fire Rescue (73343)
2020-11-09,-23.0,-10.428571428571429,-7.142857142857143,-30.142857142857142,-32.57142857142857,11.142857142857142,10.936617730830969,Albuquerque Fire Rescue (73343)
2020-11-16,-25.285714285714285,-9.428571428571429,-4.285714285714286,-30.142857142857142,-34.57142857142857,12.285714285714286,8.270146705863354,Albuquerque Fire Rescue (73343)
2020-11-23,-39.142857142857146,-9.285714285714286,-7.428571428571429,-33.0,-40.857142857142854,14.714285714285714,10.448058588996728,Albuquerque Fire Rescue (73343)
2020-11-30,-46.0,-14.142857142857142,-17.571428571428573,-40.42857142857143,-50.857142857142854,17.142857142857142,1.8618949021033806,Albuquerque Fire Rescue (73343)
2020-12-07,-31.0,-7.285714285714286,-9.0,-32.42857142857143,-36.142857142857146,13.571428571428571,3.7121821114043607,Albuquerque Fire Rescue (73343)
2020-12-14,-30.571428571428573,-6.428571428571429,-12.857142857142858,-32.857142857142854,-35.0,13.285714285714286,4.277667995327285,Albuquerque Fire Rescue (73343)
2020-12-21,-22.285714285714285,-1.5714285714285714,-4.714285714285714,-24.571428571428573,-34.0,12.0,1.885203355539307,Albuquerque Fire Rescue (73343)
2020-12-28,-32.0,-9.285714285714286,-7.285714285714286,-33.714285714285715,-46.714285714285715,14.285714285714286,-4.366131680100682,Albuquerque Fire Rescue (73343)
2020-02-17,7.333333333333333,1.0,41.666666666666664,-12.333333333333334,-15.666666666666666,2.6666666666666665,22.282153152013723,Alexandria Fire Department (73375)
2020-02-24,-0.5714285714285714,1.1428571428571428,29.285714285714285,0.5714285714285714,2.857142857142857,-0.2857142857142857,6.670459417092569,Alexandria Fire Department (73375)
2020-03-02,1.0,2.7142857142857144,4.857142857142857,-1.8571428571428572,4.142857142857143,-0.5714285714285714,9.980254851959964,Alexandria Fire Department (73375)
2020-03-09,5.0,10.285714285714286,46.857142857142854,4.285714285714286,3.2857142857142856,-0.14285714285714285,9.150298937278157,Alexandria Fire Department (73375)
2020-03-16,-5.142857142857143,25.142857142857142,31.428571428571427,-16.0,-7.285714285714286,5.285714285714286,8.097476202471517,Alexandria Fire Department (73375)
2020-03-23,-35.142857142857146,4.571428571428571,44.285714285714285,-53.857142857142854,-45.57142857142857,20.571428571428573,-9.377074010685297,Alexandria Fire Department (73375)
2020-03-30,-47.42857142857143,-11.0,36.285714285714285,-62.285714285714285,-55.714285714285715,25.0,-17.69901459119834,Alexandria Fire Department (73375)
2020-04-06,-52.0,-17.714285714285715,16.428571428571427,-66.14285714285714,-59.714285714285715,27.142857142857142,-4.847503419850314,Alexandria Fire Department (73375)
2020-04-13,-54.714285714285715,-22.428571428571427,23.0,-67.57142857142857,-61.714285714285715,28.0,-13.741322839811678,Alexandria Fire Department (73375)
2020-04-20,-52.142857142857146,-18.714285714285715,19.5,-64.0,-60.285714285714285,27.285714285714285,-16.38177650748987,Alexandria Fire Department (73375)
2020-04-27,-52.0,-20.142857142857142,14.5,-64.14285714285714,-60.142857142857146,27.428571428571427,-16.84075217637841,Alexandria Fire Department (73375)
2020-05-04,-47.142857142857146,-19.142857142857142,43.857142857142854,-63.857142857142854,-58.285714285714285,25.0,-16.62831140582897,Alexandria Fire Department (73375)
