,date,count,department_name,year,month,day_of_week,Friday,Saturday,Sunday,Thursday,Tuesday,Wednesday,April,January,March,May
17774,2020-01-04,20,Jackson County Fire District 3,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
14353,2020-01-04,27,East Pierce Fire and Rescue,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
16328,2020-01-04,37,Golder Ranch Fire District,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
28704,2020-01-04,134,Orlando Fire Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
9442,2020-01-04,48,City of Roseville Fire Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
30555,2020-01-04,7,Plainfield Fire Protection District,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
27025,2020-01-04,44,Olathe Fire Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
22261,2020-01-04,378,Memphis Division of Fire Services,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
19040,2020-01-04,31,Jersey City Fire Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
40641,2020-01-04,20,Torrington Fire Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
2411,2020-01-04,248,Anne Arundel County Fire Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
34649,2020-01-04,385,San Francisco Fire Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
1027,2020-01-04,287,Albuquerque Fire Rescue,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
37932,2020-01-04,10,St Louis Park Fire Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
3640,2020-01-04,14,Beavercreek Township Fire Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
32465,2020-01-04,2,Rincon Valley Fire District,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
22951,2020-01-04,210,Mesa Fire and Medical Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
33959,2020-01-04,219,Sacramento Metropolitan Fire District,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
15644,2020-01-04,12,Fishers Fire and Emergency Services,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
6756,2020-01-04,18,Carmel Fire Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
37242,2020-01-04,1,Southern Platte Fire Protection District,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
25725,2020-01-04,15,Noblesville Fire Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
31245,2020-01-04,57,Richland Fire and Emergency Services,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
7173,2020-01-04,39,Cedar Rapids Fire Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
40003,2020-01-04,2,Toms River Fire District 1,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
44029,2020-01-04,71,West Palm Beach Fire Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
1718,2020-01-04,53,Alexandria Fire Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
39331,2020-01-04,65,The Villages Public Safety Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
18409,2020-01-04,1,Jackson Township Fire Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
42804,2020-01-04,1,Wayne Township Volunteer Fire Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
35719,2020-01-04,1,Simsbury Volunteer Fire Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
10128,2020-01-05,116,City of Saint Paul Fire Department,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
41779,2020-01-05,228,Tucson Fire Department,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
14998,2020-01-05,1,Fairmount Fire Protection District,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
1719,2020-01-05,43,Alexandria Fire Department,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
15645,2020-01-05,13,Fishers Fire and Emergency Services,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
32466,2020-01-05,5,Rincon Valley Fire District,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
19926,2020-01-05,135,Lexington Fire Department,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
36553,2020-01-05,20,South Adams County Fire Protection District,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
6079,2020-01-05,51,Cape Coral Fire Department,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
