department_name,date,retail/recreation_avg,grocery/pharmacy_avg,parks_avg,workplace_avg,residential_avg,level_1,avg_change_baseline_incidents
Broward County Sheriffs Office Department of Fire Rescue,2020-03-09,3.142857142857143,5.285714285714286,3.5714285714285716,1.0,0.2857142857142857,5788,10.846332534355664
Broward County Sheriffs Office Department of Fire Rescue,2020-03-16,-3.0,16.857142857142858,-0.14285714285714285,-3.857142857142857,3.142857142857143,5794,15.383772326360727
Broward County Sheriffs Office Department of Fire Rescue,2020-03-23,-30.714285714285715,0.8571428571428571,-30.714285714285715,-31.285714285714285,15.285714285714286,5801,12.213978339803534
Broward County Sheriffs Office Department of Fire Rescue,2020-03-30,-44.857142857142854,-19.285714285714285,-52.57142857142857,-44.857142857142854,21.0,5808,-3.3341961166880205
Broward County Sheriffs Office Department of Fire Rescue,2020-04-06,-47.0,-20.142857142857142,-59.142857142857146,-48.57142857142857,23.142857142857142,5815,0.8612605540005517
Broward County Sheriffs Office Department of Fire Rescue,2020-04-13,-50.857142857142854,-26.285714285714285,-59.857142857142854,-51.42857142857143,23.857142857142858,5822,-12.306666909096835
Broward County Sheriffs Office Department of Fire Rescue,2020-04-20,-47.42857142857143,-24.0,-58.0,-47.857142857142854,23.0,5829,-8.246736476143365
Broward County Sheriffs Office Department of Fire Rescue,2020-04-27,-46.42857142857143,-24.0,-57.142857142857146,-47.142857142857146,22.285714285714285,5836,-4.219433090401281
Broward County Sheriffs Office Department of Fire Rescue,2020-05-04,-42.142857142857146,-19.142857142857142,-45.0,-44.714285714285715,19.571428571428573,5843,-6.922757013852315
Broward County Sheriffs Office Department of Fire Rescue,2020-05-11,-40.0,-13.714285714285714,-42.714285714285715,-42.57142857142857,19.142857142857142,5850,-5.491097454322455
Broward County Sheriffs Office Department of Fire Rescue,2020-05-18,-41.42857142857143,-19.285714285714285,-45.857142857142854,-40.57142857142857,19.0,5857,-0.6218136744959437
Broward County Sheriffs Office Department of Fire Rescue,2020-05-25,-36.285714285714285,-18.285714285714285,-48.142857142857146,-41.57142857142857,18.857142857142858,5864,0.6124369935593553
Carmel Fire Department,2020-02-17,8.666666666666666,1.3333333333333333,37.666666666666664,-6.666666666666667,0.6666666666666666,6810,10.066738107269703
Carmel Fire Department,2020-02-24,4.142857142857143,2.2857142857142856,41.42857142857143,1.4285714285714286,-0.42857142857142855,6817,-0.11477447111055916
Carmel Fire Department,2020-03-02,2.142857142857143,1.0,1.7142857142857142,1.1428571428571428,0.14285714285714285,6824,-0.6742083505969025
Carmel Fire Department,2020-03-09,7.571428571428571,5.571428571428571,44.714285714285715,1.0,-0.5714285714285714,6831,1.866848249317155
Carmel Fire Department,2020-03-16,-3.5714285714285716,18.0,21.571428571428573,-10.142857142857142,4.428571428571429,6838,-12.30376137259052
Carmel Fire Department,2020-03-23,-39.857142857142854,-0.7142857142857143,11.428571428571429,-43.0,18.0,6845,-3.091863534158723
Carmel Fire Department,2020-03-30,-51.42857142857143,-23.0,33.714285714285715,-56.0,22.714285714285715,6851,-2.7216777746160745
Carmel Fire Department,2020-04-06,-49.857142857142854,-21.142857142857142,57.142857142857146,-58.42857142857143,23.142857142857142,6858,-1.123407085228964
Carmel Fire Department,2020-04-13,-50.285714285714285,-20.714285714285715,43.857142857142854,-59.57142857142857,22.857142857142858,6864,-10.563677585961914
Carmel Fire Department,2020-04-20,-47.0,-21.0,15.428571428571429,-59.57142857142857,24.857142857142858,6871,-14.88425015016423
Carmel Fire Department,2020-04-27,-42.857142857142854,-15.142857142857142,71.14285714285714,-54.57142857142857,21.714285714285715,6878,-24.66289224723579
Carmel Fire Department,2020-05-04,-37.857142857142854,-11.714285714285714,77.0,-55.714285714285715,21.0,6885,-15.391146982928467
Carmel Fire Department,2020-05-11,-32.285714285714285,-7.571428571428571,52.57142857142857,-52.857142857142854,20.714285714285715,6892,-28.56319003051376
Carmel Fire Department,2020-05-18,-24.714285714285715,-8.857142857142858,58.0,-49.857142857142854,19.857142857142858,6899,-22.193136203455804
Carmel Fire Department,2020-05-25,-19.0,-5.714285714285714,91.42857142857143,-52.142857142857146,18.714285714285715,6906,-15.686931982978678
Cicero Fire Department,2020-02-17,8.666666666666666,1.3333333333333333,37.666666666666664,-6.666666666666667,0.6666666666666666,7846,-27.09736126910887
Cicero Fire Department,2020-02-24,4.142857142857143,2.2857142857142856,41.42857142857143,1.4285714285714286,-0.42857142857142855,7851,-40.176762464815916
Cicero Fire Department,2020-03-02,2.142857142857143,1.0,1.7142857142857142,1.1428571428571428,0.14285714285714285,7857,-35.21282083760563
Cicero Fire Department,2020-03-09,7.571428571428571,5.571428571428571,44.714285714285715,1.0,-0.5714285714285714,7862,-40.343575685362374
Cicero Fire Department,2020-03-30,-51.42857142857143,-23.0,33.714285714285715,-56.0,22.714285714285715,7878,-9.043928194055841
Cicero Fire Department,2020-04-06,-49.857142857142854,-21.142857142857142,57.142857142857146,-58.42857142857143,23.142857142857142,7882,6.506864086346858
